iin,card_brand,card_sub_brand,card_type,card_category,country_code,bank_name,bank_url,bank_phone,bank_city
622202,CHINA UNION PAY,,DEBIT,,CN,ICBC,www.icbc.com.cn,+86 95588,Beijing
622305,CHINA UNION PAY,,DEBIT,,CN,BANK OF NANJING,www.njcb.com.cn,+86 96400,Nanjing
622698,CHINA UNION PAY,,DEBIT,,CN,CHINA CITIC BANK,bank.ecitic.com,+86 95558,
45710040,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710041,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710042,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710043,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710044,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710045,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710046,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710047,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710048,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710051,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710052,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710053,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vordingborg
45710056,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Stege
45710057,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710059,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710101,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710102,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710103,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København Ø
45710104,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København Ø
45710105,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710106,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710107,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710108,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København N
45710109,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710110,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Valby
45710111,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hellerup
45710113,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710114,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Gentofte
45710115,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vanløse
45710116,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710117,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710118,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vanløse
45710119,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710120,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710121,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710122,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København Ø
45710123,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Kastrup
45710124,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Glostrup
45710125,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710126,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710127,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710128,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710129,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Søborg
45710130,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hvidovre
45710131,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Rødovre
45710132,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710133,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710134,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4533336499,København C
45710135,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710136,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710137,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Valby
45710138,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Glostrup
45710139,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Glostrup
45710140,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Søborg
45710141,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Kgs. Lyngby
45710142,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710143,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710144,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Rødovre
45710145,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710146,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Herlev
45710148,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710149,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Charlottenlund
45710150,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København Ø
45710151,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710152,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710154,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Valby
45710155,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710156,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hvidovre
45710157,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710158,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Kgs. Lyngby
45710159,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Kgs. Lyngby
45710160,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Holte
45710161,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710163,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710164,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København Ø
45710165,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Kastrup
45710166,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710167,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København N
45710168,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710169,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hvidovre
45710170,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710171,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Holte
45710172,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710173,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710174,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vanløse
45710175,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710176,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København S
45710177,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Vanløse
45710178,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710179,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710180,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Herlev
45710181,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710182,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hvidovre
45710183,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710184,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,København Ø
45710185,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Frederiksberg
45710186,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København V
45710187,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710190,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710191,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710194,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,København K
45710198,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710200,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,,
45710216,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4570121313,Høje Taastrup
45710220,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120220,Holbæk
45710222,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120800,Køge
45710225,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122840,Gentofte
45710227,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120650,Solrød Strand
45710233,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120930,Allerød
45710238,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124740,København S
45710239,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545123840,Ishøj
45710241,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120560,Helsingør
45710242,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124740,København S
45710246,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122770,Vanløse
45710247,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124120,Støvring
45710248,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122730,Hvidovre
45710249,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124880,Hørsholm
45710250,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124120,København K
45710252,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545123480,København Ø
45710254,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545125650,København K
45710255,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122260,København V
45710258,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545123170,Brønshøj
45710259,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120180,Frederiksberg
45710260,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124720,København Ø
45710261,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120180,Frederiksberg
45710263,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124500,Charlottenlund
45710264,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120630,København NV
45710265,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120170,Valby
45710266,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122730,Hvidovre
45710268,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124740,København S
45710270,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545126700,Glostrup
45710271,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120270,Herlev
45710272,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124500,Charlottenlund
45710274,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120600,København K
45710275,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124270,Søborg
45710276,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545120110,København K
45710280,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122850,Bagsværd
45710283,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124560,Farum
45710284,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124690,Ballerup
45710294,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,,
45710297,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545126000,København K
45710301,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710303,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Albertslund
45710306,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710307,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ballerup
45710308,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Skovlunde
45710309,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710311,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Korsør
45710312,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Albertslund
45710314,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710315,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Taastrup
45710316,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Taastrup
45710317,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Taastrup
45710319,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Værløse
45710320,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ballerup
45710321,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Skovlunde
45710322,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ballerup
45710327,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Roskilde
45710328,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Roskilde
45710329,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Jyllinge
45710333,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Skibby
45710336,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710337,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Jyllinge
45710338,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710339,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ringsted
45710340,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ringsted
45710341,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Slagelse
45710342,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Sorø
45710343,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Korsør
45710344,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710345,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Haslev
45710346,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710347,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710352,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Næstved
45710354,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Ringsted
45710373,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Slagelse
45710378,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Dianalund
45710379,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710385,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Dianalund
45710388,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Slagelse
45710390,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hvalsø
45710392,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Viby Sjælland
45710393,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Solrød Strand
45710400,VISA,DANKORT,DEBIT,CLASSIC,DK,Lån og Spar Bank,www.lsb.dk,+4533782000,København K
45710404,VISA,DANKORT,DEBIT,CLASSIC,DK,Lån og Spar Bank,www.lsb.dk,+4533782000,København K
45710418,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122100,Roskilde
45710421,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545143626,København K
45710424,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,,
45710429,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122100,Roskilde
45710430,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122100,Roskilde
45710434,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545121880,Greve
45710435,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710440,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545125730,Frederiksberg C
45710443,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545123290,Frederiksberg C
45710452,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545124820,Holte
45710454,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545122270,Nærum
45710455,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545123730,Virum
45710465,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Helsingør
45710466,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Helsingør
45710467,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Nivå
45710468,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710469,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Helsingør
45710470,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710471,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,,
45710473,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Helsingør
45710474,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Helsingør
45710480,VISA,DANKORT,DEBIT,CLASSIC,DK,Nordea,www.nordea.dk,+4570333333,Hillerød
45710482,VISA,DANKORT,DEBIT,CLASSIC,DK,Danske Bank,www.danskebank.dk,+4545128643,
45710516,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559511515,Kalundborg
45710517,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559911515,Nykøbing Sj.
45710518,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559276700,Jyderup
45710519,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4558852193,Høng
45710520,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559431515,Holbæk
45710521,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559185245,Tølløse
45710522,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4559481111,Holbæk
45710523,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4547371515,Frederikssund
45710524,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4558562424,Slagelse
45710525,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,+4546355151,Roskilde
45710526,VISA,DANKORT,DEBIT,CLASSIC,DK,Sparekassen Sjælland,alm.spks.dk,,
45710533,VISA,DANKORT,DEBIT,CLASSIC,DK,Dragsholm Sparekasse,www.dragsholmsparekasse.dk,+4559652626,Asnæs
45710534,VISA,DANKORT,DEBIT,CLASSIC,DK,Dragsholm Sparekasse,www.dragsholmsparekasse.dk,+4559656058,Hørve
